Sede;Nit;"Razón Social";Radicado;Factura;"Fecha Radicación";"Valor Factura";"Total Glosado";"Total a Favor";"Total en Contra";"Pendiente por Resolver"
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15250;"F1  0000233225";03/01/2011;8260315,00;5159008,00;1816703,00;3342305,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15250;"F1  0000229530";03/01/2011;4551126,00;1170705,00;536571,00;634134,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15250;"F1  0000230566";03/01/2011;3397410,00;1228810,00;502633,00;726177,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15250;"F1  0000227707";03/01/2011;4941749,00;2345079,00;970180,00;1374899,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15250;"F1  0000229177";03/01/2011;2250420,00;1047006,00;418802,00;628204,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15250;"F1  0000231151";03/01/2011;24324103,00;5240323,00;1918356,00;3321967,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15250;"F1  0000229697";03/01/2011;1332620,00;718301,00;321778,00;396523,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15251;"F1  0000229534";03/01/2011;5047550,00;2088860,00;732037,00;1356823,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15251;"F1  0000232163";03/01/2011;4333230,00;47040,00;47040,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000231081";03/01/2011;511651,00;86653,00;30329,00;56324,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000228677";03/01/2011;1054206,00;31840,00;11144,00;20696,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000232788";03/01/2011;1235862,00;108389,00;37936,00;70453,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000231164";03/01/2011;984168,00;37277,00;13047,00;24230,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000230451";03/01/2011;876479,00;77332,00;27066,00;50266,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000228598";03/01/2011;229128,00;36130,00;15434,00;20696,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000231315";03/01/2011;570819,00;17270,00;17270,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000227690";03/01/2011;142060,00;85537,00;29938,00;55599,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000227976";03/01/2011;304446,00;18256,00;6390,00;11866,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000230932";03/01/2011;641153,00;159794,00;5130,00;154664,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000227708";03/01/2011;1416467,00;453620,00;226810,00;226810,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000231279";03/01/2011;908859,00;36600,00;20190,00;16410,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000231727";03/01/2011;432912,00;53998,00;18899,00;35099,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000227701";03/01/2011;698974,00;495361,00;244425,00;250936,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000231451";03/01/2011;11454636,00;1676788,00;821626,00;855162,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000228397";03/01/2011;2062236,00;891661,00;454066,00;437595,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000229390";03/01/2011;1543312,00;72470,00;25365,00;47105,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000231257";03/01/2011;1494776,00;265374,00;96092,00;169282,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000231414";03/01/2011;3312711,00;1009917,00;359373,00;650544,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000230850";03/01/2011;1065298,00;153677,00;55932,00;97745,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000227828";03/01/2011;781336,00;73450,00;25708,00;47742,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000227786";03/01/2011;1691979,00;1090356,00;534274,00;556082,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000227848";03/01/2011;663379,00;127108,00;44488,00;82620,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000229687";03/01/2011;630928,00;31840,00;11144,00;20696,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000230917";03/01/2011;384532,00;38534,00;15437,00;23097,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000230359";03/01/2011;2336430,00;613937,00;323569,00;290368,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000228327";03/01/2011;418287,00;32102,00;11236,00;20866,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000228597";03/01/2011;256139,00;31840,00;11144,00;20696,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000228914";03/01/2011;426967,00;148827,00;52089,00;96738,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000229222";03/01/2011;513863,00;65734,00;23007,00;42727,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000228494";03/01/2011;612038,00;95485,00;33420,00;62065,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000228498";03/01/2011;1456723,00;6110,00;6110,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000227970";03/01/2011;228824,00;65734,00;23007,00;42727,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000232230";03/01/2011;576785,00;37238,00;13033,00;24205,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000227554";03/01/2011;1190682,00;3330,00;3330,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000231572";03/01/2011;1707382,00;797010,00;278954,00;518056,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000228779";03/01/2011;515023,00;135033,00;47262,00;87771,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000231444";03/01/2011;312803,00;231882,00;95082,00;136800,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000228953";03/01/2011;1319628,00;731193,00;365597,00;365596,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000230911";03/01/2011;12924969,00;704434,00;246552,00;457882,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000227767";03/01/2011;460503,00;16940,00;5929,00;11011,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000230052";03/01/2011;952255,00;93409,00;32693,00;60716,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000231964";03/01/2011;502170,00;29368,00;18169,00;11199,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000231431";03/01/2011;2257010,00;1107427,00;542639,00;564788,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000231586";03/01/2011;273516,00;190784,00;66774,00;124010,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000231943";03/01/2011;1061686,00;406778,00;144907,00;261871,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000230447";03/01/2011;1021540,00;83670,00;41290,00;42380,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000228537";03/01/2011;340545,00;340545,00;119191,00;221354,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000230839";03/01/2011;882744,00;185364,00;64877,00;120487,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000229068";03/01/2011;1189175,00;77332,00;27066,00;50266,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000231718";03/01/2011;467149,00;53998,00;18899,00;35099,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000229480";03/01/2011;1669007,00;190887,00;66810,00;124077,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000229209";03/01/2011;473899,00;31340,00;31340,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000229980";03/01/2011;188767,00;44362,00;15527,00;28835,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000231157";03/01/2011;370335,00;16500,00;10065,00;6435,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000230926";03/01/2011;8296143,00;2765878,00;1382939,00;1382939,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000228090";03/01/2011;237564,00;14387,00;5035,00;9352,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15252;"F1  0000229170";03/01/2011;1745897,00;1745897,00;872949,00;872948,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15253;"F1  0000230175";03/01/2011;29700,00;29700,00;10395,00;19305,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15254;"F1  0000230000";03/01/2011;37725,00;22726,00;22726,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000230492";03/01/2011;904680,00;114439,00;40054,00;74385,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000232273";03/01/2011;840473,00;30500,00;30500,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000230862";03/01/2011;867931,00;74200,00;40530,00;33670,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000233247";03/01/2011;4185226,00;2664898,00;932714,00;1732184,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000229108";03/01/2011;284913,00;238159,00;116698,00;121461,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000231902";03/01/2011;797859,00;256874,00;105798,00;151076,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000232895";03/01/2011;1225205,00;36442,00;24175,00;12267,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000233122";03/01/2011;311684,00;64878,00;30597,00;34281,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000229146";03/01/2011;2007239,00;640138,00;320069,00;320069,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000230634";03/01/2011;999690,00;54756,00;31285,00;23471,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000231621";03/01/2011;682562,00;32060,00;12846,00;19214,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000231936";03/01/2011;1281442,00;130358,00;73982,00;56376,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000232925";03/01/2011;2037548,00;700828,00;354774,00;346054,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000230923";03/01/2011;564412,00;145868,00;60414,00;85454,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000231966";03/01/2011;14297646,00;13273194,00;13074072,00;199122,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000233199";03/01/2011;3608072,00;1416215,00;708108,00;708107,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000232280";03/01/2011;414451,00;107069,00;48258,00;58811,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000228600";03/01/2011;357737,00;112940,00;39529,00;73411,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000230562";03/01/2011;511392,00;325620,00;129338,00;196282,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000232277";03/01/2011;284391,00;32367,00;11328,00;21039,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000229130";03/01/2011;1113092,00;890628,00;445314,00;445314,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000232238";03/01/2011;598477,00;198428,00;69450,00;128978,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000231467";03/01/2011;1606999,00;860964,00;321227,00;539737,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000230941";03/01/2011;1512087,00;624005,00;312003,00;312002,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000229657";03/01/2011;5893769,00;1503165,00;736551,00;766614,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000231895";03/01/2011;2058499,00;447578,00;165531,00;282047,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000232062";03/01/2011;1198617,00;69955,00;33545,00;36410,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000231186";03/01/2011;900385,00;149179,00;111290,00;37889,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000229178";03/01/2011;1164162,00;1164162,00;570439,00;593723,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000232023";03/01/2011;6386047,00;1312426,00;466018,00;846408,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000231254";03/01/2011;999945,00;91820,00;57760,00;34060,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000233227";03/01/2011;4254069,00;926978,00;324442,00;602536,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000232724";03/01/2011;432209,00;50697,00;29658,00;21039,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000232807";03/01/2011;14969470,00;12026165,00;6013083,00;6013082,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000231128";03/01/2011;1010121,00;427380,00;220305,00;207075,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000232162";03/01/2011;368981,00;261617,00;94218,00;167399,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000232907";03/01/2011;752390,00;26542,00;17179,00;9363,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000229154";03/01/2011;1177287,00;928823,00;464412,00;464411,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000230464";03/01/2011;703239,00;67849,00;39770,00;28079,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000231587";03/01/2011;1833956,00;955228,00;510944,00;444284,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000232641";03/01/2011;823965,00;231435,00;91817,00;139618,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000231648";03/01/2011;1087226,00;128460,00;56577,00;71883,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000231894";03/01/2011;885980,00;201337,00;100669,00;100668,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000232729";03/01/2011;661065,00;304216,00;173397,00;130819,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000231634";03/01/2011;427232,00;33051,00;11568,00;21483,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000231437";03/01/2011;8129548,00;364394,00;172635,00;191759,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000230846";03/01/2011;1027621,00;30590,00;18240,00;12350,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000232630";03/01/2011;286190,00;189779,00;92992,00;96787,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15255;"F1  0000229532";03/01/2011;3718520,00;1344589,00;470606,00;873983,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15256;"F1  0000228387";03/01/2011;65728,00;2231,00;2231,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15257;"F1  0000232499";03/01/2011;3505180,00;431200,00;86240,00;344960,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000230563";03/01/2011;233303,00;128637,00;59250,00;69387,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000231466";03/01/2011;13668,00;13668,00;4784,00;8884,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232087";03/01/2011;56332,00;11611,00;11611,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000231975";03/01/2011;76976,00;28589,00;16589,00;12000,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232759";03/01/2011;193632,00;13993,00;2382,00;11611,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000231443";03/01/2011;94569,00;31840,00;11144,00;20696,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000229248";03/01/2011;119532,00;4978,00;4978,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000231645";03/01/2011;70988,00;13993,00;13993,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232139";03/01/2011;365426,00;195503,00;77522,00;117981,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000233243";03/01/2011;59996,00;13993,00;13993,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000231462";03/01/2011;57023,00;57023,00;0,00;57023,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000227757";03/01/2011;50886,00;4798,00;4798,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000231369";03/01/2011;406153,00;128362,00;46475,00;81887,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000231127";03/01/2011;100916,00;52622,00;19966,00;32656,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232186";03/01/2011;94880,00;38000,00;13300,00;24700,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000231473";03/01/2011;90433,00;13993,00;13993,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232737";03/01/2011;70636,00;11611,00;11611,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000230984";03/01/2011;376353,00;233868,00;106000,00;127868,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232263";03/01/2011;190635,00;176967,00;61938,00;115029,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232261";03/01/2011;100659,00;11611,00;11611,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232741";03/01/2011;79703,00;79703,00;27896,00;51807,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000233226";03/01/2011;138529,00;38152,00;13353,00;24799,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000231395";03/01/2011;265842,00;136247,00;57308,00;78939,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232013";03/01/2011;51046,00;13993,00;13993,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232194";03/01/2011;76818,00;11611,00;11611,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232246";03/01/2011;60005,00;16589,00;16589,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000227747";03/01/2011;49926,00;2382,00;2382,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000227754";03/01/2011;133413,00;20958,00;20958,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000230694";03/01/2011;82736,00;2382,00;2382,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000231435";03/01/2011;50266,00;13993,00;13993,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000230383";03/01/2011;458751,00;226151,00;95839,00;130312,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000231694";03/01/2011;45162,00;16589,00;16589,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000231524";03/01/2011;305770,00;173713,00;60800,00;112913,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232349";03/01/2011;55835,00;11611,00;11611,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232775";03/01/2011;192341,00;13993,00;13993,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000233219";03/01/2011;60503,00;60503,00;21176,00;39327,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000231263";03/01/2011;91619,00;2382,00;2382,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000231504";03/01/2011;104927,00;40382,00;15682,00;24700,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000231680";03/01/2011;127379,00;14382,00;14382,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000231726";03/01/2011;53103,00;2382,00;2382,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000230948";03/01/2011;151150,00;32170,00;32170,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232313";03/01/2011;73046,00;2382,00;2382,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000230796";03/01/2011;203632,00;65792,00;33682,00;32110,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000230915";03/01/2011;182003,00;166245,00;58186,00;108059,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000231119";03/01/2011;277698,00;81163,00;29955,00;51208,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232820";03/01/2011;82269,00;2382,00;2382,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232835";03/01/2011;53365,00;11611,00;11611,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000228475";03/01/2011;45089,00;4798,00;4798,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000231709";03/01/2011;92360,00;13993,00;13993,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000229016";03/01/2011;96813,00;14382,00;0,00;14382,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000230774";03/01/2011;124558,00;106750,00;37363,00;69387,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000230893";03/01/2011;113828,00;57950,00;20283,00;37667,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000233250";03/01/2011;48805,00;2382,00;2382,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232730";03/01/2011;89478,00;11611,00;11611,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232359";03/01/2011;195856,00;103472,00;43762,00;59710,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232182";03/01/2011;69931,00;2382,00;2382,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000232357";03/01/2011;101366,00;11611,00;11611,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000228483";03/01/2011;34349,00;2382,00;2382,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000230567";03/01/2011;265696,00;18051,00;18051,00;0,00;0,00
CAQUETA;813001952;"CLINICA MEDILASER S.A.";15258;"F1  0000229037";03/01/2011;41525,00;2382,00;2382,00;0,00;0,00
